book,chapter,verse,start,end
1,27,2,7759.193,7764.679
1,27,3,7764.813,7773.935
1,27,4,7774.421,7785.737
1,27,5,7785.938,7795.674
1,27,6,7795.825,7804.314
1,27,7,7804.381,7813.912
1,27,8,7814.314,7820.088
1,27,9,7820.473,7831.638
1,27,10,7831.973,7838.587
1,27,11,7839.106,7848.142
1,27,12,7849.331,7858.883
1,27,13,7859.134,7867.989
1,27,14,7868.274,7877.005
1,27,15,7877.172,7888.358
1,27,16,7889.195,7896.209
1,27,17,7896.393,7903.476
1,27,18,7905.05,7912.79
1,27,19,7913.259,7928.996
1,27,20,7929.616,7939.742
1,27,21,7939.809,7949.212
1,27,22,7949.915,7961.291
1,27,23,7961.659,7969.132
1,27,24,7970.103,7975.055
1,27,25,7975.222,7987.794
1,27,26,7987.878,7994.422
1,27,27,7994.506,8009.104
1,27,28,8009.255,8017.618
1,27,29,8017.986,8033.238
1,27,30,8033.539,8048.676
1,27,31,8048.877,8063.006
1,27,32,8063.224,8072.453
1,27,33,8073.977,8090.375
1,27,34,8090.743,8104.487
1,27,35,8104.788,8111.177
1,27,36,8111.378,8128.974
1,27,37,8130.967,8146.82
1,27,38,8146.887,8161.184
1,27,39,8161.368,8172.397
1,27,40,8172.682,8184.907
1,27,41,8186.465,8201.13
1,27,42,8201.398,8217.286
1,27,43,8217.403,8224.858
1,27,44,8226.466,8232.483
1,27,45,8232.65,8246.043
1,27,46,8247.182,8262.483
1,28,1,8264.733,8275.883
1,28,2,8276.05,8288.335
1,28,3,8288.569,8296.785
1,28,4,8296.785,8309.809
1,28,5,8309.976,8322.766
1,28,6,8324.374,8342.393
1,28,7,8343.18,8350.325
1,28,8,8350.325,8356.948
1,28,9,8357.032,8368.995
1,28,10,8374.211,8379.997
1,28,11,8380.095,8393.04
1,28,12,8393.549,8405.869
1,28,13,8406.089,8423.989
1,28,14,8425.006,8438.265
1,28,15,8438.265,8454.113
1,28,16,8454.113,8463.838
1,28,17,8463.838,8474.802
1,28,18,8475.107,8487.089
1,28,19,8487.089,8495.237
1,28,20,8495.407,8510.305
1,28,21,8510.542,8516.732
1,28,22,8516.966,8529.691
1,29,1,8531.97,8536.596
1,29,2,8536.881,8552.199
1,29,3,8552.45,8566.029
1,29,4,8566.598,8574.598
1,29,5,8574.799,8581.557
1,29,6,8581.976,8591.373
1,29,7,8591.524,8600.934
1,29,8,8601.487,8613.435
1,29,9,8614.842,8622.478
1,29,10,8622.98,8640.66
1,29,11,8641.129,8646.894
1,29,12,8647.296,8657.539
1,29,13,8658.125,8674.369
1,29,14,8674.453,8682.291
1,29,15,8682.483,8693.273
1,29,16,8693.541,8700.909
1,29,17,8701.378,8708.586
1,29,18,8708.971,8718.726
1,29,19,8720.016,8729.255
1,29,20,8729.556,8739.019
1,29,21,8740.526,8749.825
1,29,22,8750.662,8755.545
1,29,23,8755.629,8764.507
1,29,24,8764.766,8772.864
1,29,25,8772.948,8785.399
1,29,26,8785.466,8793.069
1,29,27,8793.387,8803.265
